term,semester,category,initials,description,date
Block1,Fall 2017,Fees,RE,Residency Application Deadline,8/30/2017
Block1,Fall 2017,Fees,RF,Last Day for Refund,8/29/2017
Block1,Fall 2017,Fees,TD,Tuition and Fees Due,8/21/2017
Block1,Fall 2017,Registration,AA,Last Day to Add/Audit,8/31/2017
Block1,Fall 2017,Registration,CW,Last Day for Complete Withdrawal,9/28/2017
Block1,Fall 2017,Registration,DD,Last Day to Drop Individual Class,9/15/2017
Block1,Fall 2017,Registration,SG,Last Day to Add Without Signature,8/22/2017
Block1,Fall 2017,Registration,WG,"Last Day to drop without receiving a ""W"" grade",8/29/2017
Block1,Fall 2017,Registration,WL,Last Day for Waitlist,8/21/2017
Block1,Fall 2017,Classwork,CE,Classwork Ends,10/9/2017
Block1,Fall 2017,Classwork,FE,Final Exams,10/10/2017
Block1,Fall 2017,Classwork,CB,Classwork Begins,8/21/2017
Block1,Fall 2017,Breaks,FB,Fall Break,10/12/2017
Block1,Fall 2017,Breaks,FB,Fall Break,10/13/2017
Block1,Fall 2017,Breaks,H,Labor Day,9/4/2017
Block1,Fall 2017,Graduation,GR,Associate's Degree Graduation Deadline Fall 2017,10/2/2017
Block1,Fall 2017,Faculty,FW,Faculty Workshops,8/14/2017
Block1,Fall 2017,Faculty,FW,Faculty Workshops,8/15/2017
Block1,Fall 2017,Faculty,FW,Faculty Workshops,8/16/2017
Block1,Fall 2017,Faculty,FW,Faculty Workshops,8/17/2017
Block1,Fall 2017,Faculty,FW,Faculty Workshops,8/18/2017
Block2,Fall 2017,Fees,DF,Drop/Audit Fee Begins($10 per class), 10/19/2017
Block2,Fall 2017,Fees,RF,Last Day for Refund,10/24/2017
Block2,Fall 2017,Registration,AA,Last Day to Add/Audit,10/26/2017
Block2,Fall 2017,Registration,CA,Class Schedules Available Online,10/23/2017
Block2,Fall 2017,Registration,CW,Last Day for Complete Withdrawal,11/21/2017
Block2,Fall 2017,Registration,DD,Last Day to Drop Individual Class,11/9/2017
Block2,Fall 2017,Registration,SG,Last Day to Add Without Signature,10/17/2017
Block2,Fall 2017,Registration,WG,"Last Day to drop without receiving a ""W"" grade",10/24/2017
Block2,Fall 2017,Registration,WL,Last Day for Waitlist,10/16/2017
Block2,Fall 2017,Registration,JR,Registration open to Juniors (60+ Credits),11/14/2017
Block2,Fall 2017,Registration,OR,Open Registration,11/16/2017
Block2,Fall 2017,Registration,SO,Registration open to Sophomores (30+ Credits),11/15/2017
Block2,Fall 2017,Registration,SR,Registration open to Seniors (90+ credits),11/13/2017
Block2,Fall 2017,Classwork,CE,Classwork Ends,12/6/2017
Block2,Fall 2017,Classwork,FE,Final Exams,12/7/2017
Block2,Fall 2017,Classwork,CB,Classwork Begins,10/16/2017
Block2,Fall 2017,Breaks,FB,Fall Break,10/12/2017
Block2,Fall 2017,Breaks,FB,Fall Break,10/13/2017
Block2,Fall 2017,Breaks,H,Thanksgiving Break,11/22/2017
Block2,Fall 2017,Breaks,H,Thanksgiving Break,11/23/2017
Block2,Fall 2017,Breaks,H,Thanksgiving Break,11/24/2017
Block2,Fall 2017,Graduation,GR,Bachelor's Degree Graduation Application Deadline Spring 2018,11/1/2017
Block2,Fall 2017,Graduation,GR,Associate's Degree Graduation Application Deadline Fall 2017,10/2/2017


