term,semester,category,initials,description,date
block2,Fall 2017,Fees,DF,Drop/Audit Fee Begins ($10 per class),10/19/2017
block2,Fall 2017,Fees,LF,$50 Late Registration/Payment Fee,8/29/2017
block2,Fall 2017,Fees,NP,Courses dropped for non-payment,8/25/2017
block2,Fall 2017,Fees,RF,Last Day for Refund,10/24/2017
block2,Fall 2017,Fees,TD,Tuition and Fees Due,8/21/2017
block2,Fall 2017,Registration,AA,Last Day to Add/Audit,10/26/2017
block2,Spring 2018,Registration,CA,Spring and Summer 2018 class schedules available on line,10/23/2017
block2,Summer 2018,Registration,CA,Spring and Summer 2018 class schedules available on line,10/23/2017
block2,Fall 2017,Registration,CW,Last Day for Complete Withdrawal,11/21/2017
block2,Fall 2017,Registration,DD,Last Day to Drop Individual Class,11/9/2017
block2,Fall 2017,Registration,E,Classwork Ends for 2nd 7 week block,12/6/2017
block2,Fall 2017,Registration,SG,Last Day to Add Without Signature,10/17/2017
block2,Fall 2017,Registration,WG,Last Day to drop without receiving a 'W' grade,10/24/2017
block2,Fall 2017,Registration,WL,Last Day for Waitlist,10/16/2017
block2,Spring 2018,Registration,SR,Registration open to Seniors (90+ Credits),11/13/2017
block2,Spring 2018,Registration,JR,Registration open to Juniors (60+ Credits),11/14/2017
block2,Spring 2018,Registration,SO,Registration open to Sophomores (30+ Credits),11/15/2017
block2,Spring 2018,Registration,OR,Open Registration,11/16/2017
block2,Fall 2017,Classwork,FE,Final Exams for 2nd 7 week block,12/7/2017
block2,Fall 2017,Classwork,CB,Classwork Begins for 2nd 7 week block,10/16/2017
block2,Fall 2017,Breaks,FB,Fall Break,10/12/2017
block2,Fall 2017,Breaks,FB,Fall Break,10/13/2017
block2,Fall 2017,Graduation,GR,Associate's degree Graduation Deadline Fall 2017,10/2/2017
block2,Spring 2018,Graduation,GR,Bachelor's degree Graduation Deadline Spring 2018,11/1/2017
block2,Fall 2017,Holiday,H,Thanksgiving Break,11/22/2017
block2,Fall 2017,Holiday,H,Thanksgiving Break,11/23/2017
block2,Fall 2017,Holiday,H,Thanksgiving Break,11/24/2017
